n_tokens,n_sents,avg_sent_len,avg_word_len,ttr,punct_ratio,excl_per_1k,quest_per_1k,quotes_per_1k,pos_ratio_noun,pos_ratio_verb,pos_ratio_adj,pos_ratio_adv,pos_ratio_propn,pos_ratio_pron,fk_grade,author,title,split
282,13,21.692307692307693,4.072340425531915,0.6212765957446809,0.1453900709219858,3.5460992907801416,7.092198581560283,35.46099290780142,0.14184397163120568,0.1879432624113475,0.06028368794326241,0.04964539007092199,0.0070921985815602835,0.1099290780141844,7.566752136752136,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
281,3,93.66666666666667,4.45643153526971,0.5892116182572614,0.11387900355871886,0.0,0.0,0.0,0.11743772241992882,0.16725978647686832,0.03914590747330961,0.08896797153024912,0.07829181494661921,0.09608540925266904,12.530162601626017,Jane Austen,Sense and Sensibility,val
288,13,22.153846153846153,4.094017094017094,0.5982905982905983,0.1701388888888889,0.0,3.4722222222222223,31.25,0.1388888888888889,0.15625,0.059027777777777776,0.059027777777777776,0.04861111111111111,0.08333333333333333,7.934285714285714,Jane Austen,Sense and Sensibility,val
292,15,19.466666666666665,4.004255319148936,0.5446808510638298,0.1780821917808219,0.0,6.8493150684931505,41.0958904109589,0.136986301369863,0.17465753424657535,0.04452054794520548,0.023972602739726026,0.02054794520547945,0.11986301369863013,6.295383583690988,Jane Austen,Emma,val
280,12,23.333333333333332,4.385245901639344,0.6270491803278688,0.12857142857142856,0.0,0.0,0.0,0.15,0.175,0.039285714285714285,0.08928571428571429,0.010714285714285714,0.1392857142857143,8.51219008264463,Mark Twain,The Adventures of Tom Sawyer,val
292,14,20.857142857142858,4.436681222707423,0.6244541484716157,0.19863013698630136,3.4246575342465753,10.273972602739725,41.0958904109589,0.136986301369863,0.13013698630136986,0.09931506849315068,0.07191780821917808,0.0273972602739726,0.08904109589041095,8.82716748768473,Jane Austen,Pride and Prejudice,val
298,3,99.33333333333333,4.450980392156863,0.5333333333333333,0.12751677852348994,0.0,0.0,3.3557046979865772,0.13087248322147652,0.17785234899328858,0.050335570469798654,0.053691275167785234,0.030201342281879196,0.10738255033557047,21.72739920948617,Jane Austen,Emma,val
298,14,21.285714285714285,4.05511811023622,0.5669291338582677,0.13758389261744966,0.0,0.0,0.0,0.1476510067114094,0.1476510067114094,0.06711409395973154,0.050335570469798654,0.030201342281879196,0.11073825503355705,6.572685714285715,Mark Twain,Adventures of Huckleberry Finn,val
266,16,16.625,4.31140350877193,0.6271929824561403,0.13533834586466165,3.7593984962406015,0.0,15.037593984962406,0.15413533834586465,0.18796992481203006,0.03759398496240601,0.045112781954887216,0.02631578947368421,0.13909774436090225,6.369556718061677,Mark Twain,The Adventures of Tom Sawyer,val
240,6,40.0,4.199052132701421,0.5829383886255924,0.11666666666666667,0.0,0.0,0.0,0.15416666666666667,0.17083333333333334,0.025,0.041666666666666664,0.020833333333333332,0.14583333333333334,11.917654986522912,Jane Austen,Pride and Prejudice,val
277,6,46.166666666666664,3.6184738955823295,0.5502008032128514,0.08664259927797834,0.0,0.0,0.0,0.1588447653429603,0.16967509025270758,0.04332129963898917,0.06498194945848375,0.010830324909747292,0.09747292418772563,14.543163265306124,Mark Twain,Adventures of Huckleberry Finn,val
